,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
1656,457.27768281982696,1098.91149902344,457.237313931887,457.288684341413,1088.59008789062,1100.91918945312,87,418745.2588504269,nan,nan,1656,0.05084745762711865,knn
1672,459.295423855296,1102.34545898438,459.283610339955,459.29652183151603,1099.75439453125,1104.04663085938,105,284488.59293310944,nan,nan,1672,0.0,no
1720,464.314502331997,1120.94390869141,464.31348933948897,464.3360811483099,1119.00146484375,1127.40283203125,120,1263277.5336835633,nan,nan,1720,0.0,no
1737,466.315917125569,883.0559692382809,466.290542888968,466.317283573455,881.73974609375,900.1596069335941,119,242658.20333613327,nan,nan,1737,0.0,no
1767,470.35180636784503,1164.73193359375,470.35094538696,470.35267551868,1162.41870117188,1168.10229492188,70,278713.2679524039,nan,nan,1767,0.0,no
1782,471.73778883456396,710.222198486328,471.53541862018204,471.740107652387,700.166748046875,712.662231445312,102,234038.33473563357,nan,nan,1782,0.0423728813559322,knn
1796,473.31203804290396,1185.35461425781,473.311127262481,473.31537768005796,1180.3779296875,1189.27526855469,106,461670.15717846266,nan,nan,1796,0.07627118644067797,knn
1846,480.346338178971,1103.58947753906,480.31917209540495,480.347129470178,1098.30932617188,1106.30981445312,119,6844863.279541806,nan,nan,1846,0.0,no
1861,482.362122794514,1099.84771728516,482.361043973667,482.36292428790904,1098.98767089844,1102.41320800781,118,8543616.18919199,nan,nan,1861,0.0,no
1930,490.3386217715,1185.47271728516,490.337383365616,490.353781298769,1180.3779296875,1195.12255859375,110,1137383.944609902,nan,nan,1930,0.03389830508474576,knn
1940,491.342324070494,1185.44256591797,491.341209929086,491.346778458336,1180.3779296875,1189.74548339844,106,332298.6013465876,nan,nan,1940,0.07627118644067797,knn
1949,492.364873487354,1162.8017578125,492.36399479234,492.365754607381,1162.12841796875,1165.34545898438,60,295757.86446690874,nan,nan,1949,0.0,no
1965,494.32498026624,1044.39819335938,494.323842074991,494.32632722463205,1038.52416992188,1046.98083496094,118,1475883.983187925,nan,nan,1965,0.0,no
1975,495.293716849206,1185.36981201172,495.292784132809,495.294582436484,1180.3779296875,1189.74548339844,106,595185.043760984,nan,nan,1975,0.05084745762711865,knn
1982,496.341973910734,1084.20202636719,496.34131411434197,496.34298021830705,1083.24145507812,1085.85949707031,118,27407402.64400181,nan,nan,1982,0.0,no
1986,496.34160763239504,1069.88415527344,496.340908568207,496.342345468265,1069.20788574219,1070.41296386719,47,5261795.384615738,nan,nan,1986,0.0,no
1998,497.345064541349,1084.20202636719,497.34426818845594,497.34590009498004,1083.24145507812,1085.85949707031,118,7574153.3827153975,nan,nan,1998,0.0,no
2118,510.75928844612605,661.48046875,510.757795731332,510.770870485882,650.762390136719,665.208984375,73,337745.4200581872,nan,nan,2118,0.0,no
2127,511.260810575727,661.3377685546881,511.243075871876,511.28007835676596,645.349792480469,671.373474121094,56,188253.86986181117,nan,nan,2127,0.00847457627118644,knn
2149,513.343994113377,1232.92791748047,513.342505750943,513.358195523112,1230.78491210938,1239.21728515625,92,190721.21268033437,nan,nan,2149,0.0,no
2161,514.378484896964,1160.88958740234,514.376730876366,514.380116371409,1159.57238769531,1163.65991210938,70,288521.47151346464,nan,nan,2161,0.0,no
2212,520.341840549375,1066.60748291016,520.340944985203,520.342708623776,1053.35913085938,1068.02160644531,128,19186447.246059947,nan,nan,2212,0.0,no
2223,521.345562051469,1066.59698486328,521.3441302298739,521.352360929568,1053.41528320312,1068.02160644531,126,5839247.386472735,nan,nan,2223,0.0,no
2233,522.3573918700071,1104.98779296875,522.356498608668,522.3579729025361,1103.44946289062,1107.74108886719,118,13023424.724548155,nan,nan,2233,0.0,no
2245,523.360355713601,1104.97790527344,523.359064736915,523.361122997218,1103.89575195312,1107.26538085938,118,3826841.1574858925,nan,nan,2245,0.0,no
2258,524.362400495188,1104.93737792969,524.331976609647,524.3640463704551,1103.44946289062,1115.66809082031,106,910396.2347796797,nan,nan,2258,0.0,no
2272,525.304512651737,1050.283203125,525.192267007527,525.354913716087,1022.2762451171901,1051.94763183594,127,373324.3853071276,nan,nan,2272,0.05084745762711865,knn
2283,526.52015761043,1248.87896728516,526.5187055390401,526.521208128149,1246.35278320312,1264.49743652344,118,311664.9990398592,nan,nan,2283,0.0,no
2322,530.369957192214,1232.76257324219,530.3686482536821,530.441056505676,1228.43920898438,1234.65576171875,104,545755.3243541288,nan,nan,2322,0.00847457627118644,knn
2327,531.3722317259591,1233.07495117188,531.274212143043,531.373980197072,1230.16979980469,1235.83642578125,115,178208.43553445002,nan,nan,2327,0.0,no
2328,531.353559912827,1098.36376953125,531.352370755105,531.3550512422071,1097.30480957031,1099.43212890625,104,433346.6718422592,nan,nan,2328,0.0,no
2359,535.3263611574299,1233.11645507812,535.191994570342,535.397850968278,1227.39599609375,1248.708984375,174,509000.676706422,nan,nan,2359,0.0,no
2374,536.391144011617,1159.2373046875,536.390258675318,536.392026499773,1157.80126953125,1161.95202636719,43,235989.15950070237,nan,nan,2374,0.0,no
2405,539.270060787539,658.5128173828119,539.025566715252,539.270953330972,653.204895019531,693.498168945312,45,102576.93506285654,nan,nan,2405,0.00847457627118644,knn
2448,544.34169056265,1069.30456542969,544.340557814068,544.372786576763,1056.32385253906,1079.34008789062,121,6196710.840673041,nan,nan,2448,0.0,no
2458,545.369123345774,1176.65472412109,545.367719293501,545.370659115943,1173.16076660156,1181.07055664062,106,419891.6069900816,nan,nan,2458,0.0,no
2470,546.357067770977,1091.08288574219,546.35065062933,546.358173154702,1090.48376464844,1108.21533203125,119,3867595.421760257,nan,nan,2470,0.0,no
2549,554.176053240123,1298.77868652344,554.17439384439,554.177365283563,1297.00952148438,1300.54443359375,106,162673.37378715127,nan,nan,2549,0.0,no
2630,562.396320055093,1176.67724609375,562.39537194539,562.400485724995,1173.16076660156,1181.07055664062,115,796079.500651578,nan,nan,2630,0.0,no
2640,563.399219117991,1176.67034912109,563.398072419116,563.40025183152,1173.16076660156,1177.65930175781,100,256254.28856483966,nan,nan,2640,0.0,no
2679,567.35149858758,1176.68505859375,567.350338188312,567.354034223965,1173.16076660156,1181.07055664062,109,769517.3255183102,nan,nan,2679,0.0423728813559322,knn
2989,603.792197243172,662.476872802724,603.721250459627,603.872367513675,643.662780761719,695.8551635742191,90,535207.5412054982,nan,nan,2989,0.059322033898305086,knn
2995,604.2935662878019,662.400726318359,604.265364020982,604.334524181923,643.165466308594,672.923583984375,74,324047.72034081887,nan,nan,2995,0.025423728813559324,knn
3002,604.794789530531,662.3585205078119,604.6730579989791,604.796663729266,647.484191894531,673.1739501953119,45,116901.94022624285,nan,nan,3002,0.0423728813559322,knn
3045,610.185252074096,1600.7509765625,610.1839936745571,610.18645601099,1593.5930175781198,1602.39013671875,117,769258.7954017186,nan,nan,3045,0.0,no
3053,611.185795456307,1600.7470703125,611.184478182453,611.186945627418,1593.5930175781198,1602.39013671875,117,441061.5808727488,nan,nan,3053,0.0,no
3054,611.384476418139,1124.53790283203,611.377325400894,611.490673616344,1099.32580566406,1126.52331542969,78,193661.10637245636,nan,nan,3054,0.16101694915254236,knn
3114,620.248385497492,747.5517578125,620.108824128816,620.253729906285,716.764282226562,753.3792114257809,115,327480.85799919843,nan,nan,3114,0.00847457627118644,knn
3171,628.195453167417,1355.35205078125,628.193772258104,628.1970922406321,1353.10278320312,1357.99536132812,57,137564.20866268943,nan,nan,3171,0.0,no
3211,632.302408590786,665.450378417969,632.300872930463,632.305369924529,660.64111328125,668.789978027344,38,90072.98737994292,nan,nan,3211,0.025423728813559324,knn
3226,634.452991856317,1169.01147460938,634.449201971485,634.491501111855,1166.61645507812,1180.96752929688,93,297309.83654319274,nan,nan,3226,0.0,no
3249,639.409458681691,1169.14056396484,639.408011825917,639.419374123041,1166.61645507812,1173.96447753906,106,491831.8299494669,nan,nan,3249,0.05084745762711865,knn
3340,655.2819436489141,706.76171875,655.208109880023,655.351274070867,690.5940551757809,709.5027465820309,101,160257.18032539412,nan,nan,3340,0.03389830508474576,knn
3483,675.818690540728,665.0279541015619,675.816770834056,676.01270533191,656.27734375,682.791748046875,62,202692.76339456366,nan,nan,3483,0.0423728813559322,knn
3484,676.320197620425,664.922027587891,676.319055717481,676.323142323276,660.232666015625,668.343688964844,46,140619.89202366763,nan,nan,3484,0.0423728813559322,knn
3545,684.203370730296,1693.4475097656198,684.202025838787,684.205089717072,1688.4091796875,1698.78564453125,67,174757.7629892635,nan,nan,3545,0.01694915254237288,knn
3621,698.787712337229,734.5040893554691,698.751638221409,698.8642822545979,712.87646484375,742.8115234375,98,514675.04273321567,nan,nan,3621,0.03389830508474576,knn
3625,699.282312316723,735.974334716797,699.276036686873,699.35207780033,733.3042602539059,741.9076538085941,100,836903.5748707361,nan,nan,3625,0.09322033898305085,knn
3627,699.7808286748959,736.4375610351559,699.67952880258,699.852143992464,731.5390014648441,740.96875,95,497515.9236165766,nan,nan,3627,0.025423728813559324,knn
3630,700.2815103728591,736.892700195312,700.1778528463581,700.3758384638049,732.515014648438,742.7796020507809,95,228067.48187448824,nan,nan,3630,0.09322033898305085,knn
3645,702.534539330357,1173.80163574219,702.4532546135961,702.538628869201,1166.84912109375,1197.86645507812,79,369335.17021852406,nan,nan,3645,0.01694915254237288,knn
3809,733.3331087763601,670.847869873047,733.331257956631,733.3912174358501,664.743835449219,684.871398925781,94,799210.2573675605,nan,nan,3809,0.0423728813559322,knn
3814,733.834137434043,670.9210205078119,733.657485792655,733.891355601275,660.6749267578119,693.600952148438,115,254340.99410088762,nan,nan,3814,0.025423728813559324,knn
3818,734.335335427447,670.679656982422,734.156282502097,734.357127980049,659.23095703125,683.829284667969,92,107935.90231838483,nan,nan,3818,0.01694915254237288,knn
3825,734.836768493392,670.4212646484381,734.835123642772,734.842144906444,664.743835449219,673.237609863281,41,84286.24739592666,nan,nan,3825,0.06779661016949153,knn
3837,737.729585693289,890.6259765625,737.618291723897,737.7356075882111,869.1383666992191,904.7822265625,205,279918.9698844912,nan,nan,3837,0.0,no
3882,749.383420335854,676.9268798828119,749.16836010944,749.3954413441769,670.1727294921881,693.04541015625,97,170421.16222308314,nan,nan,3882,0.00847457627118644,knn
4174,831.445493571974,845.725738525391,831.42969230258,831.449692690954,837.5093383789059,869.591918945312,108,748494.4893635346,nan,nan,4174,0.0,no
4262,864.41083763341,707.005859375,864.389110462318,864.470894933934,692.3571166992191,730.0560913085941,105,202324.56317068715,nan,nan,4262,0.0423728813559322,knn
4419,991.6758540569501,1084.20141601562,991.672906148721,991.7031345422071,1083.63134765625,1099.83605957031,119,2540718.90347392,nan,nan,4419,0.0,no
4462,1006.49216892345,758.800048828125,1006.45909547174,1006.4952397402301,755.2648315429691,761.6337280273441,90,275661.66671694507,nan,nan,4462,0.0,no
4547,1050.47413853335,705.686767578125,1050.3491317927699,1050.4783562810499,698.0245971679691,707.9343872070309,89,204983.8678562345,nan,nan,4547,0.0423728813559322,knn
4549,1051.47728239985,705.521270751953,1051.47440824764,1051.54152177569,692.7511596679691,707.9343872070309,92,122573.33911049744,nan,nan,4549,0.00847457627118644,knn
